nome,anno,codice_stato_cup,costo_lavori_previsto,cup,fonte_finanziamento,lat,lon,tipo,nome_completo
LAVORI DI SISTEMAZIONE FOSSO CANALE,2019,ATTIVO,,B33H19002080005,,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RESTAURO CONSERVATIVO PONTE MUSMECI,2018,ATTIVO,3000000.00,B35F17000040006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"ADEGUAMENTO DELLA CENTRALE TERMICA, POSA IN OPERA DI PANNELLI SOLARI E MISURE DI CONTENIMENTO PASSIVO",2018,ATTIVO,610000.00,B31B16000740006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
LAVORI DI RISTRUTTURAZIONE DEGLI SPOGLIATOI DELLO STADIO VIVIANI,2018,ATTIVO,600000.00,B36I18000400002,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"ADEGUAMENTO DELLA CENTRALE TERMICA, POSA IN OPERA DI PANNELLI SOLARI E MISURE DI CONTENIMENTO PASSIVO",2018,ATTIVO,513444.88,B31B16000740006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"ADEGUAMENTO DELLA CENTRALE TERMICA, POSA IN OPERA DI PANNELLI SOLARI E MISURE DI CONTENIMENTO PASSIVO",2018,ATTIVO,500000.00,B31B16000740006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
DEMOLIZIONE PREFABBRICATI,2018,ATTIVO,247860.51,B39E18000110006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"ADEGUAMENTO DELLA CENTRALE TERMICA, POSA IN OPERA DI PANNELLI SOLARI E MISURE DI CONTENIMENTO PASSIVO",2018,ATTIVO,200000.00,B31B16000740006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"ADEGUAMENTO DELLA CENTRALE TERMICA, POSA IN OPERA DI PANNELLI SOLARI E MISURE DI CONTENIMENTO PASSIVO",2018,ATTIVO,150000.00,B31B16000740006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"ADEGUAMENTO DELLA CENTRALE TERMICA, POSA IN OPERA DI PANNELLI SOLARI E MISURE DI CONTENIMENTO PASSIVO",2018,ATTIVO,150000.00,B31B16000740006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
